Code,M201_1.1,M201_1.2,M201_2.1,M201_3.1,M201_3.2,M201_4.1,M201_4.2,M201_4.3,M201_4.4,M201_5.1,M201_5.2,M201_Q1,M201_QS1,M201_Q2,M201_QS2,M201_Q3,M201_QS3,M201_Q4,M201_QS4,M201_Q5,M201_QS5,M201-k,M201-u,M201-u-k,M301_1.1,M301_1.2,M301_2.1,M301_3.1,M301_3.2,M301_4.1,M301_4.2,M301_4.3,M301_4.4,M301_5.1,M301_5.2,M301_Q1,M301_QS1,M301_Q2,M301_QS2,M301_Q3,M301_QS3,M301_Q4,M301_QS4,M301_Q5,M301_QS5,M301-k,M301-u,M301-u-k,M305_1.1,M305_1.2,M305_2.1,M305_3.1,M305_3.2,M305_4.1,M305_4.2,M305_4.3,M305_4.4,M305_5.1,M305_5.2,M305_Q1,M305_QS1,M305_Q2,M305_QS2,M305_Q3,M305_QS3,M305_Q4,M305_QS4,M305_Q5,M305_QS5,M305-k,M305-u,M305-u-k,NoteMathe,NoteNatW,Weiblich,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12
ABCF_3,1,1,2,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,1,0,,,,1,1,2,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,2,2,0,0,0,0,1,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,4.5,4.8,0,3,3,2,3,2,2,3,2,2,2,2,1
ACBF_1,0,1,2,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,,,,1,1,3,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,2,2,0,1,0,2,1,1,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACBF_5,0,1,2,0,0,1,1,0,0,0,0,1,1,1,1,0,0,1,0,0,0,,,,1,0,2,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,2,2,0,1,1,2,1,1,1,1,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FABC_2,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,,1,1,2,0,0,1,1,0,0,0,0,1,1,1,1,0,0,1,0,0,0,2,3,1,1,0,0,1,0,1,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABCF_12,1,0,2,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,,,,1,1,2,0,0,1,1,0,0,0,0,1,1,1,1,0,0,1,0,0,0,2,3,1,1,0,2,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACBF_12,1,1,2,0,0,1,1,0,0,0,0,1,1,1,1,0,0,1,0,0,0,,,,1,1,3,1,0,1,1,0,0,0,0,1,1,1,1,0,0,1,0,0,0,2,3,1,1,1,1,1,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FABC_15,1,0,2,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,,,,1,0,3,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,5,5,0,1,1,2,1,0,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FACB_12,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,,1,1,3,1,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABCF_23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,2,1,0,1,0,1,1,0,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FABC_21,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,2,1,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FABC_24,1,1,2,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,1,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
